,transposed conv kernel,small parallel trans kernel,use ConNeXt backbone,backbone convolution kernel,parallel small conv backbone,epsilon,mIoU,mAcc,allAcc
193,17,0,False,3,0,0.05,0.4821,0.7045,0.8359
194,17,0,False,3,0,0.0,0.7142,0.8493,0.9305
195,17,0,False,3,0,0.1,0.4688,0.6921,0.8295
196,9,0,False,3,0,0.15,0.4556,0.6752,0.8197
197,9,0,False,3,0,0.25,0.4397,0.6409,0.8124
198,9,0,False,3,0,0.2,0.4483,0.6596,0.8166
199,9,0,False,3,0,0.3,0.4281,0.6155,0.8077
200,9,0,False,3,0,0.05,0.4743,0.7012,0.8298
201,9,0,False,3,0,0.0,0.7153,0.8526,0.9292
202,9,0,False,3,0,0.1,0.4611,0.6860,0.8229
203,9,0,False,3,0,0.15,0.4572,0.6729,0.8209
204,9,0,False,3,0,0.25,0.4370,0.6307,0.8110
205,9,0,False,3,0,0.2,0.4481,0.6546,0.8156
206,9,0,False,3,0,0.3,0.4215,0.5997,0.8066
207,9,0,False,3,0,0.05,0.4757,0.6989,0.8312
208,9,0,False,3,0,0.0,0.7151,0.8544,0.9294
209,9,0,False,3,0,0.1,0.4642,0.6858,0.8249
210,15,0,True,11,3,0.15,0.4348,0.6450,0.8166
211,15,0,True,11,3,0.25,0.4141,0.6046,0.8122
212,15,0,True,11,3,0.2,0.4257,0.6269,0.8147
213,15,0,True,11,3,0.3,0.4012,0.5795,0.8098
214,15,0,True,11,3,0.05,0.4599,0.6782,0.8278
215,15,0,True,11,3,0.0,0.7079,0.8431,0.9277
216,15,0,True,11,3,0.1,0.4437,0.6604,0.8193
217,15,0,True,11,3,0.15,0.4324,0.6475,0.8113
218,15,0,True,11,3,0.25,0.4160,0.6138,0.8046
219,15,0,True,11,3,0.2,0.4250,0.6325,0.8082
220,15,0,True,11,3,0.3,0.4032,0.5889,0.8004
221,15,0,True,11,3,0.05,0.4564,0.6772,0.8223
222,15,0,True,11,3,0.0,0.7112,0.8514,0.9286
223,15,0,True,11,3,0.1,0.4409,0.6615,0.8142
224,9,0,True,7,0,0.15,0.4393,0.6509,0.8159
225,9,0,True,7,0,0.25,0.4245,0.6185,0.8105
226,9,0,True,7,0,0.2,0.4322,0.6358,0.8135
227,9,0,True,7,0,0.3,0.4161,0.5977,0.8072
228,9,0,True,7,0,0.05,0.4583,0.6763,0.8254
229,9,0,True,7,0,0.0,0.7099,0.8452,0.9289
230,9,0,True,7,0,0.1,0.4452,0.6630,0.8187
231,11,0,True,11,3,0.15,0.4352,0.6544,0.8128
232,11,0,True,11,3,0.25,0.4176,0.6231,0.8051
233,11,0,True,11,3,0.2,0.4279,0.6406,0.8098
234,11,0,True,11,3,0.3,0.4033,0.6000,0.7989
235,11,0,True,11,3,0.05,0.4539,0.6804,0.8222
236,11,0,True,11,3,0.0,0.7108,0.8457,0.9290
237,11,0,True,11,3,0.1,0.4411,0.6658,0.8151
238,9,0,True,7,0,0.15,0.4433,0.6631,0.8179
239,9,0,True,7,0,0.25,0.4314,0.6385,0.8130
240,9,0,True,7,0,0.2,0.4388,0.6536,0.8159
241,9,0,True,7,0,0.3,0.4198,0.6161,0.8093
242,9,0,True,7,0,0.05,0.4624,0.6841,0.8279
243,9,0,True,7,0,0.0,0.7082,0.8422,0.9280
